GroupID,ParticipantID,AgeGroup,SexAtBirth,GenderIdentity,Ethnicity,Education,WorkStatus,District,Religion,CR_Item_1,CR_Item_2,CR_Item_3,CR_Item_4,CR_Item_5,CR_Item_6,CR_Item_7,CR_Item_8,CR_Item_9,CR_Item_10,Extraversion,Agreeableness,Conscientiousness,EmotionalStability,Openness
2,G2_P9,18-24,Man,Man,Nederlands,Havo/Vwo,Parttime,Zuid,Geen religie,2,4,2,3,1,3,4,2,2,5,2,5,6,7,7
2,G2_P10,35-44,Vrouw,Vrouw,Nederlands,Vmbo,Werkloos,Centrum,Geen religie,2,1,5,5,1,5,5,5,3,4,2,3,5,6,1
3,G3_P1,35-44,Man,Man,Nederlands,Vmbo,Werkloos,Oost,Jodendom,4,1,5,2,2,5,4,2,4,2,2,3,2,1,5
3,G3_P2,35-44,Man,Man,Nederlands,Geen,Fulltime,Nieuw-West,Geen religie,4,2,3,4,1,1,5,3,3,5,4,3,1,1,2
3,G3_P3,55-64,Man,Man,Nederlands,Mbo,Parttime,Noord,Geen religie,5,3,2,3,1,2,5,2,2,2,6,2,3,1,7
3,G3_P4,35-44,Vrouw,Vrouw,Nederlands,HBO,Parttime,Oost,Geen religie,1,5,5,1,4,2,5,1,3,1,3,4,2,1,7
3,G3_P5,65+,Vrouw,Vrouw,Nederlands,Geen,Gezondheid,Oost,Islam,1,3,1,1,1,4,1,5,3,3,1,4,4,5,1
3,G3_P6,55-64,Man,Trans man,Nederlands,Universiteit,Fulltime,Zuid,Islam,2,5,5,3,4,1,4,3,5,4,5,7,1,7,5
3,G3_P7,25-34,Vrouw,Vrouw,Nederlands,Vmbo,Fulltime,Nieuw-West,Geen religie,5,3,3,2,4,1,2,2,4,1,5,6,7,6,5
3,G3_P8,45-54,Man,Man,Nederlands,Vmbo,Parttime,Oost,Geen religie,5,3,5,1,4,1,1,5,4,4,6,4,7,3,5
3,G3_P9,45-54,Vrouw,Vrouw,Nederlands,Vmbo,Fulltime,Nieuw-West,Geen religie,3,5,5,2,4,2,4,4,5,1,7,1,3,5,4
3,G3_P10,25-34,Man,Man,Nederlands,Geen,Fulltime,Centrum,Agnostisch,5,2,4,5,5,5,5,5,3,4,5,4,3,3,4
4,G4_P1,55-64,Vrouw,Vrouw,Nederlands,Havo/Vwo,Parttime,West,Geen religie,4,4,5,2,4,4,2,2,4,2,4,4,5,1,4
4,G4_P2,55-64,Vrouw,Vrouw,Nederlands,Geen,Parttime,Oost,Geen religie,5,4,5,5,3,5,2,3,5,1,2,2,6,2,3
4,G4_P3,55-64,Man,Man,Turks,Universiteit,Fulltime,West,Geen religie,1,3,5,2,1,3,3,1,5,1,2,1,3,7,1
4,G4_P4,18-24,Man,Man,Nederlands,Mbo,Student,Oost,Islam,5,3,5,5,5,5,2,2,3,1,5,6,1,6,1
4,G4_P5,65+,Man,Trans man,Nederlands,Universiteit,Gepensioneerd,Centrum,Geen religie,4,2,2,2,3,3,2,4,1,4,5,6,6,3,1
4,G4_P6,35-44,Man,Man,Nederlands,HBO,Fulltime,West,Geen religie,3,4,2,2,2,2,3,3,2,4,1,6,1,7,4
4,G4_P7,55-64,Vrouw,Vrouw,Nederlands,Geen,Zorg,Oost,Geen religie,2,1,2,1,4,4,5,2,5,2,5,6,3,3,3
4,G4_P8,35-44,Vrouw,Vrouw,Nederlands,Universiteit,Fulltime,Zuid,Geen religie,1,3,3,3,5,2,5,2,3,3,5,5,2,4,2
4,G4_P9,25-34,Man,Man,Nederlands,Geen,Fulltime,Centrum,Islam,2,2,1,2,5,3,1,2,1,1,6,7,6,3,7
4,G4_P10,35-44,Man,Man,Nederlands,Geen,Parttime,Centrum,Geen religie,5,4,2,4,2,5,2,3,3,3,7,7,6,3,7
5,G5_P1,65+,Man,Man,Nederlands,Geen,Gepensioneerd,Noord,Geen religie,4,1,1,5,4,1,4,2,3,1,5,2,7,4,7
5,G5_P2,45-54,Vrouw,Vrouw,Nederlands,Mbo,Fulltime,West,Geen religie,5,4,2,2,3,3,5,5,1,1,5,6,5,6,6
5,G5_P3,45-54,Vrouw,Vrouw,Overig,Universiteit,Fulltime,Zuidoost,Geen religie,1,3,3,5,4,2,4,4,3,4,7,6,6,1,6
5,G5_P4,18-24,Vrouw,Vrouw,Nederlands,Vmbo,Werkloos,Nieuw-West,Geen religie,3,5,4,5,2,4,3,4,1,4,1,4,7,1,2
5,G5_P5,45-54,Man,Man,Nederlands,Universiteit,Fulltime,Zuidoost,Christendom,5,3,3,1,2,2,5,2,4,2,5,2,4,1,7
5,G5_P6,18-24,Man,Man,Nederlands,Havo/Vwo,Student,Noord,Geen religie,3,1,5,4,4,2,5,3,1,2,4,3,3,1,6
5,G5_P7,55-64,Vrouw,Vrouw,Nederlands,Geen,Parttime,Noord,Geen religie,3,5,5,5,3,3,2,4,1,5,2,1,2,7,6
5,G5_P8,55-64,Vrouw,Trans vrouw,Nederlands,Geen,Zorg,Centrum,Geen religie,2,5,3,3,3,3,2,4,5,1,4,6,7,3,4
5,G5_P9,18-24,Man,Man,Turks,HBO,Student,Nieuw-West,Christendom,1,4,2,2,5,3,2,1,5,4,5,4,7,5,5
5,G5_P10,65+,Man,Man,Overig,HBO,Gepensioneerd,Nieuw-West,Geen religie,3,3,4,4,2,3,3,5,4,3,6,2,6,6,7
6,G6_P1,45-54,Man,Man,Overig,Havo/Vwo,Fulltime,Zuid,Geen religie,4,5,5,2,1,4,2,1,3,5,6,1,6,3,7
6,G6_P2,35-44,Man,Anders,Nederlands,Vmbo,Fulltime,Zuid,Christendom,1,1,3,5,1,5,1,2,4,1,5,2,1,3,7
6,G6_P3,35-44,Vrouw,Vrouw,Nederlands,Universiteit,Fulltime,Zuidoost,Geen religie,3,2,3,1,3,3,4,3,3,1,7,4,6,5,1
6,G6_P4,35-44,Vrouw,Vrouw,Nederlands,Universiteit,Fulltime,Zuid,Christendom,5,1,1,4,1,1,4,4,5,1,7,1,5,6,7
6,G6_P5,55-64,Man,Man,Nederlands,Universiteit,Fulltime,Noord,Geen religie,1,5,5,3,2,1,3,2,2,4,1,2,6,6,3
6,G6_P6,45-54,Man,Man,Turks,Havo/Vwo,Fulltime,West,Geen religie,3,2,4,1,4,2,5,1,1,3,7,3,7,5,6
6,G6_P7,45-54,Vrouw,Vrouw,Turks,Havo/Vwo,Gezondheid,Zuid,Geen religie,2,3,3,4,4,5,5,2,2,1,7,5,3,5,3
6,G6_P8,55-64,Vrouw,Vrouw,Nederlands,Vmbo,Parttime,Zuidoost,Geen religie,4,3,2,2,3,4,4,5,5,1,2,5,4,3,4
6,G6_P9,45-54,Vrouw,Vrouw,Nederlands,Vmbo,Fulltime,Nieuw-West,Christendom,1,2,3,1,1,2,5,1,1,3,6,4,2,2,5
6,G6_P10,35-44,Vrouw,Vrouw,Nederlands,Havo/Vwo,Fulltime,West,Geen religie,2,4,1,2,1,5,1,2,4,5,2,6,5,3,1
7,G7_P1,45-54,Vrouw,Vrouw,Nederlands,Mbo,Fulltime,West,Geen religie,2,4,3,1,3,5,4,3,2,5,5,3,3,4,1
7,G7_P2,45-54,Man,Man,Nederlands,Universiteit,Fulltime,Zuidoost,Geen religie,5,1,2,4,4,3,3,4,3,1,6,3,5,3,2
7,G7_P3,45-54,Vrouw,Vrouw,Nederlands,Geen,Fulltime,Centrum,Islam,1,5,3,2,1,3,3,2,5,4,4,3,6,6,2
7,G7_P4,35-44,Man,Man,Overig,Havo/Vwo,Fulltime,Centrum,Geen religie,1,2,1,1,4,3,5,1,5,1,2,1,4,7,3
7,G7_P5,25-34,Man,Man,Nederlands,Vmbo,Fulltime,Zuidoost,Geen religie,2,5,2,5,1,3,2,3,5,2,7,6,4,7,3
7,G7_P6,25-34,Vrouw,Vrouw,Aziatisch,Universiteit,Fulltime,Nieuw-West,Islam,4,5,2,3,5,3,2,4,1,4,5,6,1,5,2
7,G7_P7,25-34,Vrouw,Vrouw,Overig,Mbo,Fulltime,West,Agnostisch,3,2,2,3,5,5,2,3,3,4,5,6,1,5,6
7,G7_P8,18-24,Man,Man,Nederlands,Geen,Student,Noord,Islam,4,5,1,1,3,5,2,4,2,5,1,1,5,6,7
7,G7_P9,35-44,Man,Man,Nederlands,Mbo,Parttime,Nieuw-West,Christendom,5,5,5,3,4,3,5,2,1,4,4,3,4,5,7
7,G7_P10,55-64,Vrouw,Vrouw,Nederlands,Universiteit,Zorg,Nieuw-West,Geen religie,1,2,1,1,2,3,5,5,1,1,3,4,2,1,5
8,G8_P1,45-54,Man,Man,Nederlands,Geen,Fulltime,Noord,Geen religie,2,3,1,3,3,4,5,1,3,1,2,4,2,1,7
8,G8_P2,55-64,Vrouw,Vrouw,Nederlands,Vmbo,Fulltime,Zuid,Geen religie,3,5,2,2,5,4,5,4,5,5,1,2,5,6,5
8,G8_P3,55-64,Vrouw,Vrouw,Aziatisch,Havo/Vwo,Fulltime,Oost,Geen religie,3,4,1,3,3,1,5,3,5,1,5,2,4,7,3
8,G8_P4,25-34,Man,Man,Nederlands,Havo/Vwo,Fulltime,West,Geen religie,3,2,2,3,5,2,4,2,5,5,4,7,2,5,6
8,G8_P5,25-34,Vrouw,Vrouw,Nederlands,Vmbo,Werkloos,Oost,Geen religie,3,2,1,2,4,4,5,5,4,4,4,2,4,3,1
8,G8_P6,45-54,Man,Man,Aziatisch,Universiteit,Parttime,Noord,Geen religie,3,2,2,5,4,4,3,3,4,5,4,7,5,3,1
8,G8_P7,45-54,Man,Man,Marokkaans,Havo/Vwo,Parttime,Zuidoost,Geen religie,2,2,5,4,1,3,5,1,5,5,3,4,2,7,6
8,G8_P8,55-64,Vrouw,Vrouw,Nederlands,Havo/Vwo,Fulltime,Noord,Christendom,4,5,5,5,3,4,3,1,5,3,3,1,2,4,6
8,G8_P9,25-34,Man,Man,Aziatisch,Geen,Fulltime,Zuid,Geen religie,4,3,4,1,1,5,5,3,2,4,7,3,5,4,5
8,G8_P10,25-34,Vrouw,Vrouw,Nederlands,Universiteit,Fulltime,Centrum,Geen religie,1,4,4,4,1,1,4,5,5,2,3,5,1,5,2
9,G9_P1,45-54,Vrouw,Vrouw,Nederlands,Universiteit,Parttime,Centrum,Christendom,4,1,4,4,1,2,2,4,1,2,1,1,1,5,6
9,G9_P2,65+,Vrouw,Vrouw,Nederlands,Universiteit,Gepensioneerd,West,Geen religie,2,2,2,2,2,4,1,3,5,3,3,6,1,6,1
9,G9_P3,55-64,Vrouw,Vrouw,Nederlands,Mbo,Fulltime,Zuid,Geen religie,3,3,4,4,2,2,3,1,4,2,6,3,2,6,4
9,G9_P4,65+,Man,Man,Turks,Havo/Vwo,Gezondheid,Nieuw-West,Islam,4,5,5,5,3,4,2,2,3,5,1,3,3,4,2
9,G9_P5,55-64,Vrouw,Vrouw,Nederlands,Universiteit,Zorg,Zuidoost,Geen religie,4,1,5,2,5,4,5,4,4,4,6,4,4,2,1
9,G9_P6,25-34,Vrouw,Vrouw,Nederlands,Vmbo,Werkloos,West,Geen religie,2,2,4,2,3,3,2,5,4,3,5,2,5,7,1
9,G9_P7,35-44,Vrouw,Vrouw,Nederlands,Universiteit,Parttime,West,Geen religie,2,5,5,5,1,4,5,1,4,2,7,6,1,3,1
9,G9_P8,65+,Man,Man,Nederlands,HBO,Gezondheid,Zuidoost,Christendom,4,4,5,3,2,3,2,5,2,4,6,1,1,5,4
9,G9_P9,25-34,Vrouw,Vrouw,Nederlands,Universiteit,Fulltime,Zuid,Islam,3,5,5,4,5,1,1,4,4,4,3,5,4,2,6
9,G9_P10,45-54,Man,Man,Nederlands,Mbo,Zorg,Oost,Geen religie,3,5,5,3,5,1,1,3,4,2,4,5,2,3,3
10,G10_P1,25-34,Man,Man,Nederlands,Mbo,Zorg,Noord,Geen religie,4,2,2,4,2,5,1,5,5,2,1,7,7,2,3
10,G10_P2,65+,Man,Man,Nederlands,Geen,Gepensioneerd,Zuidoost,Christendom,4,3,1,4,1,1,3,5,5,1,2,6,4,2,2
10,G10_P3,35-44,Man,Man,Nederlands,Geen,Fulltime,Oost,Geen religie,5,5,1,3,4,2,5,4,3,2,2,5,1,7,3
10,G10_P4,35-44,Vrouw,Vrouw,Aziatisch,Universiteit,Fulltime,Centrum,Geen religie,1,4,2,5,3,4,5,1,1,1,1,3,4,6,2
10,G10_P5,25-34,Vrouw,Vrouw,Nederlands,Universiteit,Parttime,West,Geen religie,1,3,5,2,2,4,5,5,2,1,4,5,2,5,7
10,G10_P6,55-64,Man,Man,Nederlands,Universiteit,Fulltime,West,Geen religie,3,3,5,5,3,5,4,1,4,3,3,7,4,5,5
10,G10_P7,35-44,Man,Man,Nederlands,HBO,Parttime,Oost,Christendom,3,5,4,3,2,4,2,2,1,5,4,2,1,6,3
10,G10_P8,45-54,Man,Man,Nederlands,Geen,Fulltime,Oost,Geen religie,4,4,4,1,4,5,2,3,5,5,6,4,1,2,1
10,G10_P9,55-64,Man,Man,Aziatisch,HBO,Parttime,Centrum,Islam,3,5,4,2,3,4,4,2,1,2,3,4,2,1,7
10,G10_P10,35-44,Man,Man,Nederlands,Havo/Vwo,Fulltime,West,Islam,5,1,5,3,4,3,2,1,5,5,1,6,1,2,3
11,G11_P1,25-34,Vrouw,Vrouw,Nederlands,Universiteit,Fulltime,Zuid,Geen religie,2,5,4,5,1,4,3,1,1,3,6,1,7,4,5
11,G11_P2,45-54,Vrouw,Vrouw,Nederlands,HBO,Fulltime,Nieuw-West,Geen religie,2,3,4,5,2,3,2,4,2,1,3,2,7,6,4
11,G11_P3,25-34,Vrouw,Vrouw,Nederlands,HBO,Fulltime,Oost,Agnostisch,1,2,1,4,1,4,4,3,5,4,3,6,5,4,4
11,G11_P4,65+,Vrouw,Vrouw,Nederlands,Mbo,Gepensioneerd,Noord,Geen religie,1,5,4,4,2,5,4,1,2,5,2,1,5,2,3
11,G11_P5,55-64,Vrouw,Vrouw,Turks,Havo/Vwo,Fulltime,Noord,Geen religie,2,4,2,3,3,4,5,4,2,4,7,1,2,6,2
11,G11_P6,65+,Man,Man,Nederlands,Universiteit,Gepensioneerd,Noord,Geen religie,4,1,5,3,2,3,2,3,2,4,2,2,1,2,1
11,G11_P7,55-64,Vrouw,Vrouw,Nederlands,Universiteit,Zorg,Noord,Geen religie,5,4,3,3,1,1,5,5,2,5,2,4,1,7,4
11,G11_P8,25-34,Vrouw,Vrouw,Nederlands,HBO,Fulltime,Noord,Geen religie,2,5,4,5,3,2,4,3,3,5,3,2,2,1,2
11,G11_P9,55-64,Vrouw,Vrouw,Aziatisch,Geen,Fulltime,Nieuw-West,Geen religie,3,5,1,4,3,4,1,4,4,1,5,7,4,4,5
11,G11_P10,55-64,Vrouw,Vrouw,Overig,Vmbo,Fulltime,Oost,Christendom,5,3,3,4,5,5,5,2,3,5,6,6,7,5,2
12,G12_P1,45-54,Man,Man,Nederlands,HBO,Parttime,Zuid,Christendom,3,1,4,3,5,4,5,2,4,2,4,4,2,3,1
12,G12_P2,25-34,Man,Man,Nederlands,Vmbo,Fulltime,West,Islam,1,1,1,1,1,1,2,4,5,1,2,2,2,4,5
12,G12_P3,55-64,Vrouw,Vrouw,Nederlands,Havo/Vwo,Zorg,Centrum,Geen religie,1,4,5,3,5,4,1,5,5,1,7,3,1,5,3
12,G12_P4,55-64,Man,Man,Nederlands,Mbo,Fulltime,West,Geen religie,4,3,4,3,3,4,3,3,2,5,5,6,6,2,6
12,G12_P5,55-64,Vrouw,Vrouw,Nederlands,Geen,Fulltime,Zuidoost,Geen religie,3,1,4,4,1,1,1,2,2,2,5,4,4,3,2
12,G12_P6,45-54,Vrouw,Vrouw,Aziatisch,Vmbo,Parttime,West,Geen religie,1,2,1,1,3,4,2,1,2,4,6,4,5,4,3
12,G12_P7,18-24,Man,Man,Nederlands,Havo/Vwo,Parttime,Noord,Geen religie,1,4,1,2,5,5,5,4,3,3,1,6,4,5,5
12,G12_P8,25-34,Man,Man,Nederlands,Mbo,Fulltime,West,Geen religie,3,4,5,3,5,5,1,3,3,5,6,7,4,7,1
12,G12_P9,25-34,Man,Man,Nederlands,Vmbo,Parttime,Centrum,Christendom,5,3,1,4,3,2,2,3,1,2,5,6,7,3,3
12,G12_P10,65+,Man,Man,Nederlands,Geen,Gepensioneerd,Zuid,Geen religie,2,2,2,4,1,1,2,5,1,4,3,3,7,7,6
13,G13_P1,65+,Man,Man,Marokkaans,HBO,Gepensioneerd,Zuidoost,Christendom,2,4,4,1,5,4,1,4,5,3,5,2,7,4,4
13,G13_P2,45-54,Vrouw,Vrouw,Nederlands,Vmbo,Parttime,Zuidoost,Geen religie,4,3,1,3,5,4,2,5,4,3,5,4,6,7,1
13,G13_P3,35-44,Man,Man,Nederlands,Geen,Werkloos,Zuid,Geen religie,3,1,4,5,1,1,4,4,3,4,3,7,1,2,5
13,G13_P4,18-24,Vrouw,Vrouw,Nederlands,Vmbo,Parttime,Oost,Islam,1,5,1,3,5,3,5,3,2,3,6,2,3,5,5
13,G13_P5,45-54,Vrouw,Vrouw,Nederlands,Vmbo,Fulltime,Oost,Christendom,2,4,2,3,1,1,4,1,4,4,4,1,7,4,1
13,G13_P6,65+,Man,Man,Nederlands,Vmbo,Gepensioneerd,Noord,Geen religie,3,4,2,2,1,5,4,1,5,4,3,4,2,2,3
13,G13_P7,55-64,Man,Man,Overig,Geen,Fulltime,Zuidoost,Hindoeïsme,2,3,4,5,2,2,4,1,5,2,5,2,5,3,7
13,G13_P8,55-64,Man,Man,Turks,Havo/Vwo,Parttime,Centrum,Geen religie,4,1,5,1,1,2,5,4,2,1,7,6,7,1,1
13,G13_P9,65+,Man,Man,Nederlands,Vmbo,Gepensioneerd,Centrum,Geen religie,1,1,2,2,1,2,5,5,2,1,2,2,2,3,5
13,G13_P10,55-64,Man,Man,Nederlands,Mbo,Fulltime,West,Hindoeïsme,3,1,5,4,2,4,4,5,4,4,6,3,5,1,2
14,G14_P1,65+,Vrouw,Vrouw,Nederlands,Mbo,Gepensioneerd,Centrum,Islam,2,3,3,5,3,3,4,2,4,4,1,4,5,5,7
14,G14_P2,65+,Man,Man,Nederlands,Vmbo,Gepensioneerd,Zuid,Islam,4,2,3,5,3,3,2,3,1,4,1,7,5,4,3
14,G14_P3,25-34,Man,Man,Turks,Universiteit,Zorg,Nieuw-West,Islam,4,3,1,5,5,5,5,2,4,4,6,2,7,3,7
14,G14_P4,35-44,Vrouw,Vrouw,Nederlands,Geen,Fulltime,Centrum,Geen religie,2,2,5,3,5,4,5,1,4,2,6,3,4,4,1
14,G14_P5,45-54,Vrouw,Vrouw,Nederlands,Mbo,Parttime,Oost,Hindoeïsme,3,4,4,2,5,4,2,1,5,3,4,2,1,3,7
14,G14_P6,18-24,Vrouw,Vrouw,Nederlands,Universiteit,Parttime,Oost,Agnostisch,3,3,3,1,4,5,2,2,3,4,7,7,6,1,4
14,G14_P7,55-64,Vrouw,Vrouw,Nederlands,Mbo,Fulltime,Centrum,Boeddhisme,5,3,1,5,5,4,4,4,1,1,3,4,5,7,2
14,G14_P8,65+,Vrouw,Vrouw,Nederlands,Havo/Vwo,Gepensioneerd,Nieuw-West,Geen religie,2,4,5,3,3,3,4,1,1,2,6,7,6,1,3
14,G14_P9,45-54,Vrouw,Vrouw,Nederlands,Havo/Vwo,Fulltime,Zuid,Geen religie,5,1,3,4,1,4,3,4,5,5,4,1,6,1,1
14,G14_P10,55-64,Man,Man,Nederlands,HBO,Fulltime,Centrum,Geen religie,1,4,3,4,4,2,1,5,1,5,6,1,6,4,3
15,G15_P1,35-44,Man,Man,Nederlands,Geen,Werkloos,Centrum,Agnostisch,3,1,2,1,5,4,4,1,3,2,4,5,6,5,3
15,G15_P2,35-44,Vrouw,Vrouw,Nederlands,Havo/Vwo,Fulltime,Zuidoost,Geen religie,4,4,4,4,5,3,4,2,2,3,7,1,1,7,6
15,G15_P3,45-54,Vrouw,Vrouw,Nederlands,Geen,Parttime,Zuid,Geen religie,2,3,3,4,2,1,1,5,5,1,3,6,3,5,4
15,G15_P4,35-44,Vrouw,Vrouw,Nederlands,Geen,Parttime,Centrum,Boeddhisme,3,4,4,1,2,5,5,1,2,3,6,6,1,1,5
15,G15_P5,55-64,Vrouw,Vrouw,Nederlands,Havo/Vwo,Fulltime,Zuidoost,Geen religie,1,5,3,3,3,5,5,1,4,3,4,5,5,5,4
15,G15_P6,25-34,Man,Man,Marokkaans,Vmbo,Werkloos,Zuid,Christendom,5,1,3,5,1,4,2,2,2,4,6,1,7,4,2
15,G15_P7,25-34,Man,Man,Nederlands,Mbo,Zorg,Centrum,Agnostisch,2,3,1,2,5,1,2,2,3,3,5,2,6,2,3
15,G15_P8,25-34,Man,Man,Nederlands,Havo/Vwo,Fulltime,Noord,Geen religie,5,2,5,3,2,1,1,4,3,3,1,7,5,7,2
15,G15_P9,65+,Man,Man,Nederlands,Geen,Gepensioneerd,Centrum,Christendom,4,5,3,2,4,3,5,1,5,2,6,4,4,2,3
15,G15_P10,35-44,Vrouw,Vrouw,Aziatisch,Havo/Vwo,Fulltime,West,Christendom,1,4,4,1,2,4,5,4,5,1,1,7,4,3,5
16,G16_P1,45-54,Man,Man,Nederlands,HBO,Gezondheid,West,Geen religie,4,1,4,1,5,2,5,3,3,3,5,4,2,3,6
16,G16_P2,25-34,Vrouw,Vrouw,Nederlands,Vmbo,Werkloos,West,Geen religie,3,5,5,2,5,2,5,5,2,4,5,3,7,6,4
16,G16_P3,25-34,Vrouw,Vrouw,Nederlands,HBO,Parttime,Nieuw-West,Geen religie,4,1,5,4,5,5,1,1,5,2,5,6,5,3,7
16,G16_P4,65+,Man,Man,Nederlands,HBO,Vrijwilliger,West,Agnostisch,5,4,5,4,3,4,3,1,4,5,3,5,7,2,3
16,G16_P5,45-54,Man,Man,Nederlands,Havo/Vwo,Gezondheid,West,Geen religie,1,2,3,5,5,4,5,1,5,4,6,3,7,3,5
16,G16_P6,45-54,Vrouw,Vrouw,Aziatisch,Mbo,Zorg,Oost,Geen religie,3,4,5,1,4,1,2,4,1,3,3,2,4,4,4
16,G16_P7,45-54,Vrouw,Vrouw,Nederlands,Mbo,Gezondheid,Nieuw-West,Geen religie,3,3,1,3,2,1,3,5,3,2,4,3,7,7,7
16,G16_P8,55-64,Vrouw,Vrouw,Marokkaans,Geen,Parttime,Zuid,Geen religie,1,1,1,1,3,3,3,5,5,5,7,7,2,6,5
16,G16_P9,55-64,Vrouw,Vrouw,Nederlands,Vmbo,Gezondheid,Noord,Geen religie,4,2,1,3,1,3,3,2,2,1,7,6,7,3,1
16,G16_P10,18-24,Vrouw,Vrouw,Nederlands,HBO,Student,Oost,Geen religie,1,1,4,3,2,1,2,4,3,3,3,6,4,5,5
17,G17_P1,18-24,Man,Man,Nederlands,Mbo,Student,West,Christendom,5,4,2,3,3,5,5,1,1,1,6,5,5,5,3
17,G17_P2,18-24,Man,Man,Turks,Universiteit,Student,Centrum,Geen religie,2,2,4,4,4,2,2,4,4,5,7,6,6,7,4
17,G17_P3,45-54,Vrouw,Vrouw,Nederlands,Mbo,Parttime,Zuidoost,Geen religie,2,2,2,3,1,4,1,1,1,2,5,2,2,6,6
17,G17_P4,25-34,Man,Man,Marokkaans,Geen,Fulltime,Oost,Geen religie,1,5,4,3,1,1,3,3,1,3,2,4,4,4,2
17,G17_P5,55-64,Man,Man,Aziatisch,Universiteit,Gezondheid,Zuid,Geen religie,5,1,2,2,5,1,4,3,1,2,7,7,5,5,3
17,G17_P6,65+,Man,Man,Turks,Havo/Vwo,Vrijwilliger,Zuid,Geen religie,1,1,5,4,3,3,4,5,2,1,5,6,7,4,1
17,G17_P7,35-44,Man,Man,Nederlands,Universiteit,Parttime,Zuid,Geen religie,4,1,5,2,5,5,4,2,1,1,6,3,6,6,1
17,G17_P8,65+,Vrouw,Vrouw,Nederlands,HBO,Gezondheid,Centrum,Geen religie,4,2,3,4,4,4,5,4,1,4,5,4,3,3,5
17,G17_P9,25-34,Vrouw,Vrouw,Nederlands,Vmbo,Fulltime,Zuid,Christendom,5,2,5,5,2,1,4,2,3,1,3,7,6,1,4
17,G17_P10,18-24,Man,Man,Nederlands,Havo/Vwo,Student,Zuid,Geen religie,4,2,1,4,4,1,4,2,4,3,6,5,2,3,7
18,G18_P1,55-64,Man,Man,Aziatisch,Universiteit,Parttime,Nieuw-West,Geen religie,4,5,4,3,1,3,1,1,5,3,4,3,5,1,5
18,G18_P2,65+,Vrouw,Vrouw,Overig,Mbo,Vrijwilliger,Zuid,Geen religie,4,2,1,5,4,2,3,4,1,1,3,2,4,7,2
