"Bevolking op de eerste van de maand; geslacht, leeftijd, herkomstland"
"Geboorteland ouders: Totaal"
"Onderwerp: |Bevolking op de eerste van de maand"
"Perioden: 2023 januari"
"Geboorteland: Totaal"
"";""
"Leeftijd";"Geslacht";"Herkomstland";"aantal"
"35 jaar";"Mannen";"Nederland";"74744"
"35 jaar";"Mannen";"Europa (exclusief Nederland)";"13580"
"35 jaar";"Mannen";"Buiten Europa";"27583"
"35 jaar";"Vrouwen";"Totaal";"112715"
"35 jaar";"Vrouwen";"Nederland";"71548"
"35 jaar";"Vrouwen";"Europa (exclusief Nederland)";"13849"
"35 jaar";"Vrouwen";"Buiten Europa";"27318"
"36 jaar";"Totaal mannen en vrouwen";"Totaal";"227431"
"36 jaar";"Totaal mannen en vrouwen";"Nederland";"144900"
"36 jaar";"Totaal mannen en vrouwen";"Europa (exclusief Nederland)";"27062"
"36 jaar";"Totaal mannen en vrouwen";"Buiten Europa";"55469"
"36 jaar";"Mannen";"Totaal";"114375"
"36 jaar";"Mannen";"Nederland";"73209"
"36 jaar";"Mannen";"Europa (exclusief Nederland)";"13349"
"36 jaar";"Mannen";"Buiten Europa";"27817"
"36 jaar";"Vrouwen";"Totaal";"113056"
"36 jaar";"Vrouwen";"Nederland";"71691"
"36 jaar";"Vrouwen";"Europa (exclusief Nederland)";"13713"
"36 jaar";"Vrouwen";"Buiten Europa";"27652"
"37 jaar";"Totaal mannen en vrouwen";"Totaal";"221810"
"37 jaar";"Totaal mannen en vrouwen";"Nederland";"140012"
"37 jaar";"Totaal mannen en vrouwen";"Europa (exclusief Nederland)";"26318"
"37 jaar";"Totaal mannen en vrouwen";"Buiten Europa";"55480"
"37 jaar";"Mannen";"Totaal";"111688"
"37 jaar";"Mannen";"Nederland";"70969"
"37 jaar";"Mannen";"Europa (exclusief Nederland)";"12963"
"37 jaar";"Mannen";"Buiten Europa";"27756"
"37 jaar";"Vrouwen";"Totaal";"110122"
"37 jaar";"Vrouwen";"Nederland";"69043"
"37 jaar";"Vrouwen";"Europa (exclusief Nederland)";"13355"
"37 jaar";"Vrouwen";"Buiten Europa";"27724"
"38 jaar";"Totaal mannen en vrouwen";"Totaal";"217774"
"38 jaar";"Totaal mannen en vrouwen";"Nederland";"136947"
"38 jaar";"Totaal mannen en vrouwen";"Europa (exclusief Nederland)";"25548"
"38 jaar";"Totaal mannen en vrouwen";"Buiten Europa";"55279"
"38 jaar";"Mannen";"Totaal";"109803"
"38 jaar";"Mannen";"Nederland";"69694"
"38 jaar";"Mannen";"Europa (exclusief Nederland)";"12468"
"38 jaar";"Mannen";"Buiten Europa";"27641"
"38 jaar";"Vrouwen";"Totaal";"107971"
"38 jaar";"Vrouwen";"Nederland";"67253"
"38 jaar";"Vrouwen";"Europa (exclusief Nederland)";"13080"
"38 jaar";"Vrouwen";"Buiten Europa";"27638"
"39 jaar";"Totaal mannen en vrouwen";"Totaal";"211752"
"39 jaar";"Totaal mannen en vrouwen";"Nederland";"132890"
"39 jaar";"Totaal mannen en vrouwen";"Europa (exclusief Nederland)";"25267"
"39 jaar";"Totaal mannen en vrouwen";"Buiten Europa";"53595"
"39 jaar";"Mannen";"Totaal";"106062"
"39 jaar";"Mannen";"Nederland";"67444"
"39 jaar";"Mannen";"Europa (exclusief Nederland)";"12288"
"39 jaar";"Mannen";"Buiten Europa";"26330"
"39 jaar";"Vrouwen";"Totaal";"105690"
"39 jaar";"Vrouwen";"Nederland";"65446"
"39 jaar";"Vrouwen";"Europa (exclusief Nederland)";"12979"
"39 jaar";"Vrouwen";"Buiten Europa";"27265"
"40 jaar";"Totaal mannen en vrouwen";"Totaal";"211806"
"40 jaar";"Totaal mannen en vrouwen";"Nederland";"134542"
"40 jaar";"Totaal mannen en vrouwen";"Europa (exclusief Nederland)";"24284"
"40 jaar";"Totaal mannen en vrouwen";"Buiten Europa";"52980"
"40 jaar";"Mannen";"Totaal";"106255"
"40 jaar";"Mannen";"Nederland";"68307"
"40 jaar";"Mannen";"Europa (exclusief Nederland)";"11746"
"40 jaar";"Mannen";"Buiten Europa";"26202"
"40 jaar";"Vrouwen";"Totaal";"105551"
"40 jaar";"Vrouwen";"Nederland";"66235"
"40 jaar";"Vrouwen";"Europa (exclusief Nederland)";"12538"
"40 jaar";"Vrouwen";"Buiten Europa";"26778"
"41 jaar";"Totaal mannen en vrouwen";"Totaal";"214938"
"41 jaar";"Totaal mannen en vrouwen";"Nederland";"139462"
"41 jaar";"Totaal mannen en vrouwen";"Europa (exclusief Nederland)";"23842"
"41 jaar";"Totaal mannen en vrouwen";"Buiten Europa";"51634"
"41 jaar";"Mannen";"Totaal";"107155"
"41 jaar";"Mannen";"Nederland";"70486"
"41 jaar";"Mannen";"Europa (exclusief Nederland)";"11532"
"41 jaar";"Mannen";"Buiten Europa";"25137"
"41 jaar";"Vrouwen";"Totaal";"107783"
"41 jaar";"Vrouwen";"Nederland";"68976"
"41 jaar";"Vrouwen";"Europa (exclusief Nederland)";"12310"
"41 jaar";"Vrouwen";"Buiten Europa";"26497"
"42 jaar";"Totaal mannen en vrouwen";"Totaal";"217309"
"42 jaar";"Totaal mannen en vrouwen";"Nederland";"142896"
"42 jaar";"Totaal mannen en vrouwen";"Europa (exclusief Nederland)";"23639"
"42 jaar";"Totaal mannen en vrouwen";"Buiten Europa";"50774"
"42 jaar";"Mannen";"Totaal";"108627"
"42 jaar";"Mannen";"Nederland";"72524"
"42 jaar";"Mannen";"Europa (exclusief Nederland)";"11361"
"42 jaar";"Mannen";"Buiten Europa";"24742"
"42 jaar";"Vrouwen";"Totaal";"108682"
"42 jaar";"Vrouwen";"Nederland";"70372"
"42 jaar";"Vrouwen";"Europa (exclusief Nederland)";"12278"
"42 jaar";"Vrouwen";"Buiten Europa";"26032"
"43 jaar";"Totaal mannen en vrouwen";"Totaal";"209574"
"43 jaar";"Totaal mannen en vrouwen";"Nederland";"138955"
"43 jaar";"Totaal mannen en vrouwen";"Europa (exclusief Nederland)";"22798"
"43 jaar";"Totaal mannen en vrouwen";"Buiten Europa";"47821"
"43 jaar";"Mannen";"Totaal";"104437"
"43 jaar";"Mannen";"Nederland";"70254"
"43 jaar";"Mannen";"Europa (exclusief Nederland)";"10927"
"43 jaar";"Mannen";"Buiten Europa";"23256"
"43 jaar";"Vrouwen";"Totaal";"105137"
"43 jaar";"Vrouwen";"Nederland";"68701"
"43 jaar";"Vrouwen";"Europa (exclusief Nederland)";"11871"
"43 jaar";"Vrouwen";"Buiten Europa";"24565"
"44 jaar";"Totaal mannen en vrouwen";"Totaal";"209258"
"44 jaar";"Totaal mannen en vrouwen";"Nederland";"140458"
"44 jaar";"Totaal mannen en vrouwen";"Europa (exclusief Nederland)";"22235"
"44 jaar";"Totaal mannen en vrouwen";"Buiten Europa";"46565"
"44 jaar";"Mannen";"Totaal";"104054"
"44 jaar";"Mannen";"Nederland";"71182"
"44 jaar";"Mannen";"Europa (exclusief Nederland)";"10437"
"44 jaar";"Mannen";"Buiten Europa";"22435"
"44 jaar";"Vrouwen";"Totaal";"105204"
"44 jaar";"Vrouwen";"Nederland";"69276"
"44 jaar";"Vrouwen";"Europa (exclusief Nederland)";"11798"
"44 jaar";"Vrouwen";"Buiten Europa";"24130"
"45 jaar";"Totaal mannen en vrouwen";"Totaal";"205929"
"45 jaar";"Totaal mannen en vrouwen";"Nederland";"139296"
"45 jaar";"Totaal mannen en vrouwen";"Europa (exclusief Nederland)";"21696"
"45 jaar";"Totaal mannen en vrouwen";"Buiten Europa";"44937"
"45 jaar";"Mannen";"Totaal";"102201"
"45 jaar";"Mannen";"Nederland";"70581"
"45 jaar";"Mannen";"Europa (exclusief Nederland)";"10164"
"45 jaar";"Mannen";"Buiten Europa";"21456"
"45 jaar";"Vrouwen";"Totaal";"103728"
"45 jaar";"Vrouwen";"Nederland";"68715"
"45 jaar";"Vrouwen";"Europa (exclusief Nederland)";"11532"
"45 jaar";"Vrouwen";"Buiten Europa";"23481"
"46 jaar";"Totaal mannen en vrouwen";"Totaal";"207288"
"46 jaar";"Totaal mannen en vrouwen";"Nederland";"143375"
"46 jaar";"Totaal mannen en vrouwen";"Europa (exclusief Nederland)";"21544"
"46 jaar";"Totaal mannen en vrouwen";"Buiten Europa";"42369"
"46 jaar";"Mannen";"Totaal";"103310"
"46 jaar";"Mannen";"Nederland";"72821"
"46 jaar";"Mannen";"Europa (exclusief Nederland)";"10129"
"46 jaar";"Mannen";"Buiten Europa";"20360"
"46 jaar";"Vrouwen";"Totaal";"103978"
"46 jaar";"Vrouwen";"Nederland";"70554"
"46 jaar";"Vrouwen";"Europa (exclusief Nederland)";"11415"
"46 jaar";"Vrouwen";"Buiten Europa";"22009"
"47 jaar";"Totaal mannen en vrouwen";"Totaal";"207998"
"47 jaar";"Totaal mannen en vrouwen";"Nederland";"144734"
"47 jaar";"Totaal mannen en vrouwen";"Europa (exclusief Nederland)";"20974"
"47 jaar";"Totaal mannen en vrouwen";"Buiten Europa";"42290"
"47 jaar";"Mannen";"Totaal";"103096"
"47 jaar";"Mannen";"Nederland";"73103"
"47 jaar";"Mannen";"Europa (exclusief Nederland)";"9779"
"47 jaar";"Mannen";"Buiten Europa";"20214"
"47 jaar";"Vrouwen";"Totaal";"104902"
"47 jaar";"Vrouwen";"Nederland";"71631"
"47 jaar";"Vrouwen";"Europa (exclusief Nederland)";"11195"
"47 jaar";"Vrouwen";"Buiten Europa";"22076"
"48 jaar";"Totaal mannen en vrouwen";"Totaal";"216840"
"48 jaar";"Totaal mannen en vrouwen";"Nederland";"152224"
"48 jaar";"Totaal mannen en vrouwen";"Europa (exclusief Nederland)";"21059"
"48 jaar";"Totaal mannen en vrouwen";"Buiten Europa";"43557"
"48 jaar";"Mannen";"Totaal";"107363"
"48 jaar";"Mannen";"Nederland";"77003"
"48 jaar";"Mannen";"Europa (exclusief Nederland)";"9694"
"48 jaar";"Mannen";"Buiten Europa";"20666"
"48 jaar";"Vrouwen";"Totaal";"109477"
"48 jaar";"Vrouwen";"Nederland";"75221"
"48 jaar";"Vrouwen";"Europa (exclusief Nederland)";"11365"
"48 jaar";"Vrouwen";"Buiten Europa";"22891"
"49 jaar";"Totaal mannen en vrouwen";"Totaal";"223602"
"49 jaar";"Totaal mannen en vrouwen";"Nederland";"160436"
"49 jaar";"Totaal mannen en vrouwen";"Europa (exclusief Nederland)";"20472"
"49 jaar";"Totaal mannen en vrouwen";"Buiten Europa";"42694"
"49 jaar";"Mannen";"Totaal";"110753"
"49 jaar";"Mannen";"Nederland";"80947"
"49 jaar";"Mannen";"Europa (exclusief Nederland)";"9427"
"49 jaar";"Mannen";"Buiten Europa";"20379"
"49 jaar";"Vrouwen";"Totaal";"112849"
"49 jaar";"Vrouwen";"Nederland";"79489"
"49 jaar";"Vrouwen";"Europa (exclusief Nederland)";"11045"
"49 jaar";"Vrouwen";"Buiten Europa";"22315"
"50 jaar";"Totaal mannen en vrouwen";"Totaal";"240810"
"50 jaar";"Totaal mannen en vrouwen";"Nederland";"176145"
"50 jaar";"Totaal mannen en vrouwen";"Europa (exclusief Nederland)";"20763"
"50 jaar";"Totaal mannen en vrouwen";"Buiten Europa";"43902"
"50 jaar";"Mannen";"Totaal";"119135"
"50 jaar";"Mannen";"Nederland";"88422"
"50 jaar";"Mannen";"Europa (exclusief Nederland)";"9655"
"50 jaar";"Mannen";"Buiten Europa";"21058"
"50 jaar";"Vrouwen";"Totaal";"121675"
"50 jaar";"Vrouwen";"Nederland";"87723"
"50 jaar";"Vrouwen";"Europa (exclusief Nederland)";"11108"
"50 jaar";"Vrouwen";"Buiten Europa";"22844"
"51 jaar";"Totaal mannen en vrouwen";"Totaal";"251584"
"51 jaar";"Totaal mannen en vrouwen";"Nederland";"187132"
"51 jaar";"Totaal mannen en vrouwen";"Europa (exclusief Nederland)";"20720"
"51 jaar";"Totaal mannen en vrouwen";"Buiten Europa";"43732"
"51 jaar";"Mannen";"Totaal";"125392"
"51 jaar";"Mannen";"Nederland";"94580"
"51 jaar";"Mannen";"Europa (exclusief Nederland)";"9636"
"51 jaar";"Mannen";"Buiten Europa";"21176"
"51 jaar";"Vrouwen";"Totaal";"126192"
"51 jaar";"Vrouwen";"Nederland";"92552"
"51 jaar";"Vrouwen";"Europa (exclusief Nederland)";"11084"
"51 jaar";"Vrouwen";"Buiten Europa";"22556"
"52 jaar";"Totaal mannen en vrouwen";"Totaal";"261502"
"52 jaar";"Totaal mannen en vrouwen";"Nederland";"196758"
"52 jaar";"Totaal mannen en vrouwen";"Europa (exclusief Nederland)";"20167"
"52 jaar";"Totaal mannen en vrouwen";"Buiten Europa";"44577"
"52 jaar";"Mannen";"Totaal";"130348"
"52 jaar";"Mannen";"Nederland";"98995"
"52 jaar";"Mannen";"Europa (exclusief Nederland)";"9500"
"52 jaar";"Mannen";"Buiten Europa";"21853"
"52 jaar";"Vrouwen";"Totaal";"131154"
"52 jaar";"Vrouwen";"Nederland";"97763"
"52 jaar";"Vrouwen";"Europa (exclusief Nederland)";"10667"
"52 jaar";"Vrouwen";"Buiten Europa";"22724"
"53 jaar";"Totaal mannen en vrouwen";"Totaal";"266250"
"53 jaar";"Totaal mannen en vrouwen";"Nederland";"203118"
"53 jaar";"Totaal mannen en vrouwen";"Europa (exclusief Nederland)";"20319"
"53 jaar";"Totaal mannen en vrouwen";"Buiten Europa";"42813"
"53 jaar";"Mannen";"Totaal";"133156"
"53 jaar";"Mannen";"Nederland";"102495"
"53 jaar";"Mannen";"Europa (exclusief Nederland)";"9473"
"53 jaar";"Mannen";"Buiten Europa";"21188"
"53 jaar";"Vrouwen";"Totaal";"133094"
"53 jaar";"Vrouwen";"Nederland";"100623"
"53 jaar";"Vrouwen";"Europa (exclusief Nederland)";"10846"
"53 jaar";"Vrouwen";"Buiten Europa";"21625"
"54 jaar";"Totaal mannen en vrouwen";"Totaal";"254507"
"54 jaar";"Totaal mannen en vrouwen";"Nederland";"194153"
"54 jaar";"Totaal mannen en vrouwen";"Europa (exclusief Nederland)";"19359"
"54 jaar";"Totaal mannen en vrouwen";"Buiten Europa";"40995"
"54 jaar";"Mannen";"Totaal";"127120"
"54 jaar";"Mannen";"Nederland";"97742"
"54 jaar";"Mannen";"Europa (exclusief Nederland)";"9106"
"54 jaar";"Mannen";"Buiten Europa";"20272"
"54 jaar";"Vrouwen";"Totaal";"127387"
"54 jaar";"Vrouwen";"Nederland";"96411"
"54 jaar";"Vrouwen";"Europa (exclusief Nederland)";"10253"
"54 jaar";"Vrouwen";"Buiten Europa";"20723"
"55 jaar";"Totaal mannen en vrouwen";"Totaal";"251120"
"55 jaar";"Totaal mannen en vrouwen";"Nederland";"194553"
"55 jaar";"Totaal mannen en vrouwen";"Europa (exclusief Nederland)";"18971"
"55 jaar";"Totaal mannen en vrouwen";"Buiten Europa";"37596"
"55 jaar";"Mannen";"Totaal";"125955"
"55 jaar";"Mannen";"Nederland";"98211"
"55 jaar";"Mannen";"Europa (exclusief Nederland)";"8875"
"55 jaar";"Mannen";"Buiten Europa";"18869"
"55 jaar";"Vrouwen";"Totaal";"125165"
"55 jaar";"Vrouwen";"Nederland";"96342"
"55 jaar";"Vrouwen";"Europa (exclusief Nederland)";"10096"
"55 jaar";"Vrouwen";"Buiten Europa";"18727"
"56 jaar";"Totaal mannen en vrouwen";"Totaal";"251522"
"56 jaar";"Totaal mannen en vrouwen";"Nederland";"194612"
"56 jaar";"Totaal mannen en vrouwen";"Europa (exclusief Nederland)";"17760"
"56 jaar";"Totaal mannen en vrouwen";"Buiten Europa";"39150"
"56 jaar";"Mannen";"Totaal";"126039"
"56 jaar";"Mannen";"Nederland";"97983"
"56 jaar";"Mannen";"Europa (exclusief Nederland)";"8312"
"56 jaar";"Mannen";"Buiten Europa";"19744"
"56 jaar";"Vrouwen";"Totaal";"125483"
"56 jaar";"Vrouwen";"Nederland";"96629"
"56 jaar";"Vrouwen";"Europa (exclusief Nederland)";"9448"
"56 jaar";"Vrouwen";"Buiten Europa";"19406"
"57 jaar";"Totaal mannen en vrouwen";"Totaal";"254172"
"57 jaar";"Totaal mannen en vrouwen";"Nederland";"198149"
"57 jaar";"Totaal mannen en vrouwen";"Europa (exclusief Nederland)";"17110"
"57 jaar";"Totaal mannen en vrouwen";"Buiten Europa";"38913"
"57 jaar";"Mannen";"Totaal";"127764"
"57 jaar";"Mannen";"Nederland";"100019"
"57 jaar";"Mannen";"Europa (exclusief Nederland)";"8125"
"57 jaar";"Mannen";"Buiten Europa";"19620"
"57 jaar";"Vrouwen";"Totaal";"126408"
"57 jaar";"Vrouwen";"Nederland";"98130"
"57 jaar";"Vrouwen";"Europa (exclusief Nederland)";"8985"
"57 jaar";"Vrouwen";"Buiten Europa";"19293"
"58 jaar";"Totaal mannen en vrouwen";"Totaal";"257755"
"58 jaar";"Totaal mannen en vrouwen";"Nederland";"202336"
"58 jaar";"Totaal mannen en vrouwen";"Europa (exclusief Nederland)";"16623"
"58 jaar";"Totaal mannen en vrouwen";"Buiten Europa";"38796"
"58 jaar";"Mannen";"Totaal";"129307"
"58 jaar";"Mannen";"Nederland";"101976"
"58 jaar";"Mannen";"Europa (exclusief Nederland)";"7716"
"58 jaar";"Mannen";"Buiten Europa";"19615"
"58 jaar";"Vrouwen";"Totaal";"128448"
"58 jaar";"Vrouwen";"Nederland";"100360"
"58 jaar";"Vrouwen";"Europa (exclusief Nederland)";"8907"
"58 jaar";"Vrouwen";"Buiten Europa";"19181"
"59 jaar";"Totaal mannen en vrouwen";"Totaal";"252457"
"59 jaar";"Totaal mannen en vrouwen";"Nederland";"200691"
"59 jaar";"Totaal mannen en vrouwen";"Europa (exclusief Nederland)";"15176"
"59 jaar";"Totaal mannen en vrouwen";"Buiten Europa";"36590"
"59 jaar";"Mannen";"Totaal";"126485"
"59 jaar";"Mannen";"Nederland";"101180"
"59 jaar";"Mannen";"Europa (exclusief Nederland)";"6932"
"59 jaar";"Mannen";"Buiten Europa";"18373"
"59 jaar";"Vrouwen";"Totaal";"125972"
"59 jaar";"Vrouwen";"Nederland";"99511"
"59 jaar";"Vrouwen";"Europa (exclusief Nederland)";"8244"
"59 jaar";"Vrouwen";"Buiten Europa";"18217"
"60 jaar";"Totaal mannen en vrouwen";"Totaal";"246891"
"60 jaar";"Totaal mannen en vrouwen";"Nederland";"196793"
"60 jaar";"Totaal mannen en vrouwen";"Europa (exclusief Nederland)";"14254"
"60 jaar";"Totaal mannen en vrouwen";"Buiten Europa";"35844"
"60 jaar";"Mannen";"Totaal";"123105"
"60 jaar";"Mannen";"Nederland";"98785"
"60 jaar";"Mannen";"Europa (exclusief Nederland)";"6598"
"60 jaar";"Mannen";"Buiten Europa";"17722"
"60 jaar";"Vrouwen";"Totaal";"123786"
"60 jaar";"Vrouwen";"Nederland";"98008"
"60 jaar";"Vrouwen";"Europa (exclusief Nederland)";"7656"
"60 jaar";"Vrouwen";"Buiten Europa";"18122"
"61 jaar";"Totaal mannen en vrouwen";"Totaal";"243125"
"61 jaar";"Totaal mannen en vrouwen";"Nederland";"196627"
"61 jaar";"Totaal mannen en vrouwen";"Europa (exclusief Nederland)";"13854"
"61 jaar";"Totaal mannen en vrouwen";"Buiten Europa";"32644"
"61 jaar";"Mannen";"Totaal";"121120"
"61 jaar";"Mannen";"Nederland";"98377"
"61 jaar";"Mannen";"Europa (exclusief Nederland)";"6419"
"61 jaar";"Mannen";"Buiten Europa";"16324"
"61 jaar";"Vrouwen";"Totaal";"122005"
"61 jaar";"Vrouwen";"Nederland";"98250"
"61 jaar";"Vrouwen";"Europa (exclusief Nederland)";"7435"
"61 jaar";"Vrouwen";"Buiten Europa";"16320"
"62 jaar";"Totaal mannen en vrouwen";"Totaal";"235492"
"62 jaar";"Totaal mannen en vrouwen";"Nederland";"188706"
"62 jaar";"Totaal mannen en vrouwen";"Europa (exclusief Nederland)";"13188"
